区分,確認項目,参照
"共通","車両は完成・走行可能・目視アクセス可能","IN.2"
"共通","Technical Inspection Form と公式回答を持参","IN.4, IN.6"
"共通","消火器2本以上、0.9 kg、乾式化学/乾燥粉末、圧力ゲージ付き","VE.2.3"
"共通","パドック用消火器と車両移動時用消火器を分けて運用","VE.2.3, IN.4"
"共通","テンプレートが通る状態で配線・ホース・固定部品を整理","IN.8, T.1"
"共通","全ドライバーが装備着用で5秒以内に脱出可能","IN.9"
"共通","45度で漏れなし、60度で転倒しない","IN.11"
"共通","ブレーキで4輪ロックを実証","IN.14"
"EV","バッテリー、充電器、ESF、絶縁工具、防護具を持参","IN.5"
"EV","HV絶縁手袋は試験日から12か月以内、HV絶縁ブランケットは0.83 m2以上を2枚","IN.5.1"
"EV","IMD停止、絶縁抵抗、RTD soundを確認","IN.10"
"EV","レインテスト240秒でIMDが反応しない","IN.13"
"ICV","騒音はアイドル103 dBC、その他110 dBC以下","IN.12"
"ICV","Primary Master Switch、Cockpit Main Switch、BOTSを確認","IN.12"
"合格後","許可変更と再車検対象をチーム内で区別","IN.16, IN.17"
